Timestamp,NodeID,Event,Details
7.200000,4,Sent Packet,"Packet: 5, Message: Temp: 29.7 C, Hum: 53%, Send Result: 22, Length: 22"
7.203232,10,Received Packet,"Size: 22"
7.203232,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
7.207968,10,Received Packet,"Size: 22"
7.207968,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
7.211008,4,Received Packet,"Size: 3"
7.214816,6,Received Packet,"Size: 3"
7.400000,3,Sent Packet,"Packet: 3, Message: Temp: 26.5 C, Hum: 66%, Send Result: 22, Length: 22"
7.400000,9,Sent Packet,"Packet: 4, Message: Temp: 21.9 C, Hum: 64%, Send Result: 22, Length: 22"
7.403232,10,Received Packet,"Size: 22"
7.403232,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
7.410144,10,Received Packet,"Size: 22"
7.410144,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
7.413824,9,Received Packet,"Size: 3"
7.419072,10,Received Packet,"Size: 22"
7.419072,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
7.424352,3,Received Packet,"Size: 3"
7.427840,9,Received Packet,"Size: 3"
7.700000,0,Sent Packet,"Packet: 4, Message: Temp: 27.1 C, Hum: 52%, Send Result: 22, Length: 22"
7.900000,7,Sent Packet,"Packet: 4, Message: Temp: 20.3 C, Hum: 79%, Send Result: 22, Length: 22"
7.904192,10,Received Packet,"Size: 22"
7.904192,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
7.908832,7,Received Packet,"Size: 3"
8.200000,3,Sent Packet,"Packet: 4, Message: Temp: 26.8 C, Hum: 78%, Send Result: 22, Length: 22"
8.203872,10,Received Packet,"Size: 22"
8.203872,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
8.209152,3,Received Packet,"Size: 3"
8.300000,4,Sent Packet,"Packet: 6, Message: Temp: 24.0 C, Hum: 59%, Send Result: 22, Length: 22"
8.302912,10,Received Packet,"Size: 22"
8.302912,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
8.307872,4,Received Packet,"Size: 3"
8.500000,8,Sent Packet,"Packet: 5, Message: Temp: 22.3 C, Hum: 58%, Send Result: 22, Length: 22"
8.500000,5,Sent Packet,"Packet: 5, Message: Temp: 24.6 C, Hum: 71%, Send Result: 22, Length: 22"
8.504192,10,Received Packet,"Size: 22"
8.504192,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
8.509472,5,Received Packet,"Size: 3"
8.514688,10,Received Packet,"Size: 22"
8.514688,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
8.519008,8,Received Packet,"Size: 3"
8.600000,1,Sent Packet,"Packet: 4, Message: Temp: 25.5 C, Hum: 79%, Send Result: 22, Length: 22"
8.604832,10,Received Packet,"Size: 22"
8.604832,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
8.609152,1,Received Packet,"Size: 3"
8.700000,9,Sent Packet,"Packet: 5, Message: Temp: 26.4 C, Hum: 58%, Send Result: 22, Length: 22"
8.704832,10,Received Packet,"Size: 22"
8.704832,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
8.707872,9,Received Packet,"Size: 3"
